Domain, Problem,h*, lsud,hLA, lsuda, lsd, lsda,h+,coles-etal,add_h_max (aaai05),h_max
Airport, P01_AIRPORT1_P1.PDDL,8,8,8,8,8,8,8,8,8,8
Airport, P02_AIRPORT1_P1.PDDL,9,9,9,9,9,9,9,9,8,8
Airport, P03_AIRPORT1_P2.PDDL,17,17,17,16,17,18,17,16,15,8
Airport, P04_AIRPORT2_P1.PDDL,20,20,20,20,20,20,20,20,20,20
Airport, P05_AIRPORT2_P1.PDDL,21,21,21,20,21,21,21,21,20,20
Airport, P06_AIRPORT2_P2.PDDL,41,41,41,39,41,41,41,40,34,20
Airport, P07_AIRPORT2_P2.PDDL,41,41,41,39,41,41,41,40,33,20
Airport, P08_AIRPORT2_P3.PDDL,62,62,62,53,62,62,62,60,36,20
Airport, P09_AIRPORT2_P4.PDDL,71,71,71,60,71,71,71,69,,20
Airport, P10_AIRPORT3_P1.PDDL,18,18,18,18,18,18,18,18,18,18
Airport, P11_AIRPORT3_P1.PDDL,21,21,21,20,21,21,21,21,20,20
Airport, P12_AIRPORT3_P2.PDDL,39,39,39,37,39,39,39,38,34,20
Airport, P13_AIRPORT3_P2.PDDL,37,37,37,35,37,37,37,36,31,18
Airport, P14_AIRPORT3_P3.PDDL,60,60,60,52,60,60,60,58,37,20
Airport, P15_AIRPORT3_P3.PDDL,58,58,58,50,58,58,58,56,36,20
Airport, P16_AIRPORT3_P4.PDDL,79,79,79,65,79,79,79,76,39,20
Airport, P17_AIRPORT3_P5.PDDL,88,88,88,71,88,88,88,85,,20
Airport, P18_AIRPORT3_P6.PDDL,107,107,107,84,107,107,107,103,,20
Airport, P19_AIRPORT3_P6.PDDL,90,85,90,74,90,90,90,88,,21
Airport, P20_AIRPORT3_P7.PDDL,115,114,115,90,115,115,115,111,,20
Airport, P21_AIRPORT4HALFMUC_P2.PDDL,101,87,101,90,101,101,101,100,,52
Airport, P22_AIRPORT4HALFMUC_P3.PDDL,148,129,148,121,148,148,148,147,,52
Airport, P23_AIRPORT4HALFMUC_P4.PDDL,168,146,168,134,168,168,168,167,,66
Airport, P24_AIRPORT4HALFMUC_P4.PDDL,162,140,162,130,162,162,162,159,,52
Airport, P25_AIRPORT4HALFMUC_P5.PDDL,,184,212,162,212,212,212,209,,52
Airport, P26_AIRPORT4HALFMUC_P6.PDDL,,192,220,167,220,220,220,217,,66
Airport, P27_AIRPORT4HALFMUC_P6.PDDL,,211,246,187,246,246,246,241,,52
Airport,P28_AIRPORT4HALFMUC_P7.PDDL,,253,294,218,294,294,294,289,,52
Airport,P29_AIRPORT4HALFMUC_P8.PDDL,,266,308,225,308,308,fail,303,,66
Airport,P30_AIRPORT4HALFMUC_P8.PDDL,,266,310,227,310,OOM,fail,303,,52
Airport,P31_AIRPORT4HALFMUC_P9.PDDL,,309,358,259,358,OOM,fail,351,,52
Airport,P32_AIRPORT4HALFMUC_P10.PDDL,,335,390,277,OOM,OOM,fail,383,,66
Airport,P33_AIRPORT4HALFMUC_P10.PDDL,,339,393,281,OOM,OOM,fail,385,,52
Airport,P34_AIRPORT4HALFMUC_P11.PDDL,,366,427,300,OOM,OOM,fail,419,,66
Airport,P35_AIRPORT4HALFMUC_P12.PDDL,,365,433,301,OOM,OOM,fail,,,74
