,,,,"lmcut",,,,,,"lsudA",,,,,,"HHH 10K",,,,,,,"HHH 100K",,,,,,,"blind",,,,,,,"h_max",,,,,,,"hsp_f",,,,,"Gamer",
"Domain","Problem"," Plan length"," Plan length"," Initial state"," Expanded"," Evaluated"," Generated","Search time"," Total time","Plan length","Initial state","Total time","Search time","Expanded","Generated","Plan length"," Initial state"," Expanded"," Evaluated"," Generated"," Search time"," Total time"," Plan length"," Initial state"," Expanded"," Evaluated"," Generated"," Search time"," Total time"," Plan length"," Initial state"," Expanded"," Evaluated"," Generated"," Search time"," Total time"," Plan length"," Initial state"," Expanded"," Evaluated"," Generated"," Search time"," Total time"," Plan Length"," Init State"," Expanded"," Search Time"," Total Time"," Plan length"," Total time"
," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"airport-ipc4","p01_airport1_p1.pddl",8,8,8,9,10,9," 0s"," 0s",8,8,"0s","0s",9,9,8,8,9,10,9," 0s"," 0s",8,8,9,10,9," 0s"," 0s",8,1,11,12,11," 0s"," 0.01s",8,8,9,10,9," 0s"," 0s",8,8,9,0.72,0.72,8,0.27
"airport-ipc4","p02_airport1_p1.pddl",9,9,9,10,16,16," 0s"," 0s",9,9,"0s","0s",10,16,9,9,10,16,16," 0s"," 0s",9,9,10,16,16," 0s"," 0s",9,1,16,17,19," 0s"," 0s",9,8,10,16,16," 0s"," 0s",9,9,10,1.23,1.23,9,0.31
"airport-ipc4","p03_airport1_p2.pddl",17,17,17,22,52,59," 0.01s"," 0.01s",17,17,"0.01s","0s",25,61," "," "," "," "," "," ",," "," "," "," "," "," ",,17,1,168,178,366," 0s"," 0s",17,8,57,106,148," 0s"," 0s",17,16,29,5.1,5.1,17,0.47
"airport-ipc4","p04_airport2_p1.pddl",20,20,20,21,22,21," 0s"," 0.01s",20,20,"0.02s","0.01s",21,21,20,20,21,22,21," 0s"," 0.01s",20,20,21,22,21," 0s"," 0.01s",20,1,23,24,23," 0s"," 0s",20,20,21,22,21," 0s"," 0s",20,20,21,1.32,1.32,20,0.48
"airport-ipc4","p05_airport2_p1.pddl",21,21,21,22,29,28," 0.01s"," 0.02s",21,21,"0.03s","0.01s",23,28,21,21,22,29,28," 0s"," 0.01s",21,21,22,29,28," 0s"," 0.01s",21,1,31,32,34," 0s"," 0s",21,20,22,29,28," 0s"," 0s",21,21,22,46.54,46.54,21,0.67
"airport-ipc4","p06_airport2_p2.pddl",41,41,41,42,109,108," 0.09s"," 0.11s",41,41,"0.1s","0.05s",43,108,41,41,42,109,108," 0s"," 0.18s",41,41,42,109,108," 0.01s"," 0.18s",41,1,752,767,1499," 0.01s"," 0.01s",41,20,418,613,993," 0.02s"," 0.02s",41,41,42,123.12,123.13,41,1.89
"airport-ipc4","p07_airport2_p2.pddl",41,41,41,71,164,191," 0.15s"," 0.17s",41,41,"0.15s","0.1s",88,205,41,41,42,101,100," 0s"," 0.17s",41,41,42,101,100," 0s"," 0.18s",41,1,756,771,1506," 0.01s"," 0.01s",41,20,405,581,958," 0.01s"," 0.02s",41,41,42,117.55,117.56,41,1.92
"airport-ipc4","p08_airport2_p3.pddl",62,62,62,499,1472,2133," 2.23s"," 2.26s",62,62,"2.1s","1.98s",818,2794,62,8,24372,27462,73114," 0.48s"," 25.48s",62,47,9623,12210,31125," 0.36s"," 1660.78s",62,1,27163,27508,79473," 0.22s"," 0.23s",62,20,9687,16284,33835," 0.89s"," 0.9s",62,60,203,602.08,602.09," ",
